,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16
Gene363,491,262,238,195,834,486,536,1045,489,470,344,421,426,336,394,637
Gene364,210,118,109,104,346,256,215,471,239,246,172,201,184,134,183,324
Gene365,22,14,17,8,18,26,14,58,11,30,20,17,39,44,67,34
Gene366,23,21,12,13,55,29,18,43,37,24,21,8,66,56,46,73
Gene367,11,13,5,5,20,12,27,30,21,18,13,5,34,31,51,64
Gene368,6,4,10,6,24,17,26,29,20,18,12,11,51,30,64,63
Gene369,114,49,100,44,1398,898,1396,1442,172,134,99,151,942,573,669,1461
Gene370,5,0,0,0,44,32,48,55,8,5,3,6,32,17,23,57
Gene371,55,9,14,31,166,151,376,466,21,31,15,40,155,195,187,226
Gene372,15,6,9,5,35,31,66,55,5,14,6,7,29,48,60,53
Gene373,100,43,14,24,38,12,16,60,74,126,128,38,12,34,30,26
Gene374,6,1,8,0,1,2,4,3,7,8,5,7,10,6,10,8
Gene375,1,2,0,1,2,4,0,2,4,2,0,2,3,1,1,3
Gene376,26,11,28,4,21,19,25,49,20,27,16,20,43,40,60,70
Gene377,30,12,39,16,91,47,73,82,59,47,28,41,75,86,106,126
Gene378,88,71,44,71,204,102,130,285,132,268,122,60,207,256,309,239
Gene379,170,92,116,104,273,116,213,385,221,326,202,126,332,391,467,377
Gene380,1,0,0,0,0,2,1,5,4,2,0,2,5,5,2,2
Gene381,30,19,22,5,59,28,31,71,24,59,46,9,42,74,78,31
Gene382,2,4,3,1,14,2,7,14,2,7,7,6,10,17,11,12
Gene383,2,0,3,0,1,0,0,1,3,0,2,5,6,4,2,4
Gene384,3,2,1,6,1,2,0,3,2,0,3,5,3,3,11,6
Gene385,3,6,6,4,8,6,9,7,1,4,6,14,6,5,7,13
Gene386,15,14,14,11,18,12,22,40,44,33,32,41,49,28,54,61
Gene387,33,17,20,2,35,33,38,71,61,60,55,62,65,31,60,83
Gene388,79,43,63,29,79,81,53,101,133,146,115,132,129,69,71,150
Gene389,122,90,110,35,161,132,118,183,233,250,189,246,208,110,145,293
Gene390,2,0,0,1,1,2,1,3,1,4,1,2,3,3,4,3
Gene391,69,25,28,19,65,23,24,94,28,76,39,29,56,91,96,48
Gene392,28,27,27,14,45,44,51,55,76,50,63,49,64,37,44,114
Gene393,12,3,11,15,27,11,20,21,22,29,18,32,28,20,35,48
Gene394,65,33,32,53,105,30,37,299,49,158,86,35,104,240,269,114
Gene395,15,6,5,5,26,20,19,55,12,27,21,16,32,44,42,41
Gene396,62,31,14,24,52,41,50,93,60,103,68,45,54,62,70,81
Gene397,36,23,12,14,28,16,46,78,39,73,56,29,35,28,52,63
Gene398,34,10,9,14,32,20,17,65,33,43,57,30,54,32,56,49
Gene399,8,4,4,1,6,3,1,5,3,11,7,6,7,9,9,14
Gene400,13,11,4,2,4,2,6,8,3,10,6,11,4,6,10,12
Gene401,8,2,4,2,5,0,6,13,5,15,3,11,6,8,2,2
Gene402,77,25,26,23,98,28,40,101,43,93,38,49,59,108,109,105
Gene403,462,350,327,182,334,306,254,721,655,743,701,575,477,359,343,464
Gene404,156,103,57,65,341,126,210,607,105,210,145,83,422,540,729,375
Gene405,44,38,30,10,69,62,66,89,79,81,51,79,138,86,100,193
Gene406,25,17,16,11,48,37,25,42,32,37,35,40,120,57,90,124
Gene407,14,8,8,6,28,23,18,36,12,38,25,16,48,34,36,74
Gene408,18,15,18,8,35,27,23,54,27,20,34,31,51,35,31,75
Gene409,7,6,2,4,2,1,3,12,5,2,2,4,13,8,10,12
Gene410,3,3,7,4,8,10,15,34,2,13,14,12,8,10,7,22
Gene411,9,9,8,11,18,45,47,90,9,26,19,13,31,14,21,28
Gene412,94,76,43,50,183,102,88,256,159,215,156,77,162,180,212,165
Gene413,1511,610,746,555,1484,681,1194,3832,1032,1790,1320,618,993,1269,1691,743
Gene414,3149,1944,1513,1704,4535,2133,2963,6816,3968,5197,3044,1771,2840,3477,3195,2504
Gene415,1634,845,780,837,2399,969,1536,3557,1730,2575,1654,910,1384,1758,1839,1185
Gene416,408,164,170,148,599,196,320,1046,266,731,470,215,299,571,570,300
Gene417,9,4,11,5,14,5,4,24,7,28,19,7,7,11,10,16
Gene418,30,12,16,11,20,6,9,27,26,58,26,31,20,21,25,20
Gene419,2,1,0,0,0,0,0,2,3,4,2,5,4,1,2,2
Gene420,94,56,54,31,65,92,72,107,101,106,69,98,178,113,121,210
Gene421,164,125,131,86,167,166,140,308,189,215,165,161,277,192,276,335
Gene422,542,336,327,236,1208,634,929,1312,638,946,674,439,1398,1146,1364,1794
Gene423,165,78,130,51,330,143,188,359,285,320,231,243,290,233,247,318
Gene424,675,381,370,275,1030,399,672,1523,819,1122,958,557,717,900,1086,741
Gene425,532,263,244,217,766,296,451,1111,495,859,618,357,507,759,857,516
Gene426,520,355,339,274,823,381,550,1095,722,978,632,474,606,778,837,792
Gene427,377,246,157,137,95,146,54,238,531,646,639,768,95,44,32,93
Gene428,69,62,67,23,82,73,64,104,105,126,99,165,99,56,68,114
Gene429,130,102,101,32,135,111,98,174,218,187,185,237,159,109,122,211
Gene430,276,109,111,63,141,91,77,285,194,412,305,166,93,123,112,108
Gene431,154,65,79,73,206,112,135,359,158,350,218,132,259,308,354,210
Gene432,71,44,56,40,119,50,49,161,65,146,108,52,108,159,162,103
Gene433,65,40,38,32,83,59,45,157,50,107,84,45,82,139,162,89
Gene434,29,11,16,12,58,33,53,93,28,62,41,35,72,84,86,97
Gene435,292,181,210,129,766,402,481,804,357,421,343,295,794,627,771,885
Gene436,315,138,198,126,840,467,463,1060,419,507,366,357,874,873,1062,1163
Gene437,265,158,142,155,153,146,131,331,242,329,221,199,137,162,138,177
Gene438,190,154,102,93,142,118,92,307,206,252,188,176,153,107,88,130
Gene439,90,53,39,33,61,54,61,90,107,107,122,147,69,52,47,144
Gene440,78,53,74,39,77,72,78,131,138,129,173,227,108,43,63,139
Gene441,180,135,131,51,154,194,98,207,255,260,278,341,207,82,116,287
Gene442,138,57,90,35,108,108,56,100,158,174,149,226,130,55,60,153
Gene443,98,55,62,31,73,93,52,104,94,156,160,158,104,71,62,127
Gene444,178,138,122,65,104,158,103,194,188,275,283,338,175,122,114,244
Gene445,307,236,201,127,225,240,160,295,315,406,400,465,286,158,161,322
Gene446,142,107,114,38,109,134,67,141,198,244,276,360,189,88,118,250
Gene447,169,120,105,50,158,165,85,166,247,271,248,392,216,118,101,250
Gene448,453,335,283,154,360,392,214,441,563,651,649,889,503,265,260,631
Gene449,359,280,241,142,312,259,182,383,550,619,557,624,323,183,226,371
Gene450,307,233,218,149,319,245,231,352,541,593,535,619,339,208,212,383
Gene451,408,214,241,143,319,230,179,414,458,605,537,651,275,207,199,284
Gene452,159,70,92,51,111,84,67,157,175,208,201,209,95,77,85,99
Gene453,74,52,57,23,73,63,30,70,94,139,111,148,49,36,29,43
Gene454,59,39,56,26,52,51,32,65,76,85,78,96,59,41,59,50
